city,date,tier,min_price,duration_with_min_price
London-Dusseldorf,08/03/2014,comfort,310,6:44:00
London-Dusseldorf,08/03/2014,premier,577,6:44:00
London-Dusseldorf,08/03/2014,economy,248,6:44:00
London-Dusseldorf,07/26/2014,comfort,451,6:45:00
London-Dusseldorf,07/26/2014,premier,626,6:45:00
London-Dusseldorf,07/26/2014,economy,428,6:45:00
London-Dusseldorf,07/29/2014,comfort,326,7:38:00
London-Dusseldorf,07/29/2014,premier,601,7:38:00
London-Dusseldorf,07/29/2014,economy,235,7:38:00
Paris-London,08/03/2014,comfort,214,1:26:00
Paris-London,08/03/2014,premier,507,1:26:00
Paris-London,08/03/2014,economy,153,1:26:00
Paris-London,07/26/2014,comfort,214,1:17:00
Paris-London,07/26/2014,premier,507,1:17:00
Paris-London,07/26/2014,economy,193,1:17:00
Paris-London,07/29/2014,comfort,214,1:17:00
Paris-London,07/29/2014,premier,507,1:17:00
Paris-London,07/29/2014,economy,193,1:17:00
Vienna-London,08/03/2014,comfort,440,12:07:00
Vienna-London,08/03/2014,premier,496,12:07:00
Vienna-London,08/03/2014,economy,325,12:07:00
Vienna-London,07/29/2014,comfort,440,12:07:00
Vienna-London,07/29/2014,premier,525,12:07:00
Vienna-London,07/29/2014,economy,325,12:07:00
Edinburgh-Bristol,08/03/2014,comfort,169,7:06:00
Edinburgh-Bristol,08/03/2014,premier,331,7:48:00
Edinburgh-Bristol,08/03/2014,economy,178,7:48:00
Edinburgh-Bristol,07/26/2014,comfort,169,6:35:00
Edinburgh-Bristol,07/26/2014,economy,191,5:48:00
Leeds-Bradford,08/03/2014,economy,7,0:22:00
Leeds-Bradford,07/26/2014,economy,7,0:18:00
Leeds-Bradford,07/29/2014,economy,7,0:19:00
Zurich-London,08/03/2014,comfort,486,7:05:00
Zurich-London,08/03/2014,premier,723,7:05:00
Zurich-London,08/03/2014,economy,448,7:05:00
Zurich-London,07/26/2014,comfort,486,7:05:00
Zurich-London,07/26/2014,premier,752,7:05:00
Zurich-London,07/26/2014,economy,448,7:05:00
Zurich-London,07/29/2014,comfort,464,7:05:00
Zurich-London,07/29/2014,premier,752,7:05:00
Zurich-London,07/29/2014,economy,353,7:07:00
London-Bradford,08/03/2014,comfort,58,2:58:00
London-Bradford,08/03/2014,premier,93,2:58:00
London-Bradford,08/03/2014,economy,58,2:58:00
London-Bradford,07/26/2014,comfort,75,2:52:00
London-Bradford,07/26/2014,premier,131,2:52:00
London-Bradford,07/26/2014,economy,75,2:52:00
London-Bradford,07/29/2014,comfort,75,2:49:00
London-Bradford,07/29/2014,premier,131,2:49:00
London-Bradford,07/29/2014,economy,75,2:49:00
London-Amsterdam,08/03/2014,comfort,338,6:58:00
London-Amsterdam,08/03/2014,premier,659,6:58:00
London-Amsterdam,08/03/2014,economy,276,6:58:00
London-Amsterdam,07/26/2014,comfort,463,6:45:00
London-Amsterdam,07/26/2014,premier,659,6:45:00
London-Amsterdam,07/26/2014,economy,440,6:45:00
Luxembourg-London,08/03/2014,comfort,328,4:49:00
Luxembourg-London,08/03/2014,premier,553,5:43:00
Luxembourg-London,08/03/2014,economy,250,5:43:00
Luxembourg-London,07/26/2014,comfort,513,5:19:00
Luxembourg-London,07/26/2014,premier,716,4:49:00
Luxembourg-London,07/26/2014,economy,382,4:49:00
Luxembourg-London,07/29/2014,comfort,267,5:37:00
Luxembourg-London,07/29/2014,premier,553,5:43:00
