Flag,City Pairs,Date1,Date2,Date2
Inter Country,Zurich-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Porto-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Porto-Amsterdam,7/26/2014,7/29/2014,8/3/2014
Inter Country,Paris-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Frankfurt,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Geneva,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Dusseldorf,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Amsterdam,7/26/2014,7/29/2014,8/3/2014
Inter Country,Porto-Manchester,7/26/2014,7/29/2014,8/3/2014
Inter Country,Vantaa-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Stockholm-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Luxembourg-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Copenhagen,7/26/2014,7/29/2014,8/3/2014
Inter Country,Vantaa-Munich,7/26/2014,7/29/2014,8/3/2014
Inter Country,Munich-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Rotterdam-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Basel-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Madrid-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,Vienna-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Helsinki,7/26/2014,7/29/2014,8/3/2014
Inter Country,Manchester-Amsterdam,7/26/2014,7/29/2014,8/3/2014
Inter Country,Zurich-Frankfurt,7/26/2014,7/29/2014,8/3/2014
Inter Country,Zurich-Manchester,7/26/2014,7/29/2014,8/3/2014
Inter Country,Oslo-London,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Budapest,7/26/2014,7/29/2014,8/3/2014
Inter Country,Zurich-Amsterdam,7/26/2014,7/29/2014,8/3/2014
Inter Country,London-Istanbul,7/26/2014,7/29/2014,8/3/2014
Inter Country,Stockholm-Frankfurt,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Aberdeen,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Edinburgh,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Glasgow,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Belfast,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-London,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Birmingham-Belfast,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Manchester-London,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Newcastle-London,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Edinburgh-Aberdeen,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Leeds,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Bradford,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Bristol-Aberdeen,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Humberside-Aberdeen,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Edinburgh-Cardiff,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Nottingham-Glasgow,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Manchester-Aberdeen,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Norwich-London,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Leeds-Bradford,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Leeds-Glasgow,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Norwich-Edinburgh,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Southampton-Glasgow,7/26/2014,7/29/2014,8/3/2014
Intra - UK,London-Jersey,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Leeds-Belfast,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Manchester-Edinburgh,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Edinburgh-Bristol,7/26/2014,7/29/2014,8/3/2014
Intra - UK,Edinburgh-Belfast,7/26/2014,7/29/2014,8/3/2014
