date,orig,error,dest,start_time,end_time,duration,economy_price,comfort_price,premier_price,check_again
07/26/2014,Zurich,False,London,7:34AM,2:39PM,7:05:00,$469,$507,$752,False
07/26/2014,Zurich,False,London,9:34AM,4:39PM,7:05:00,$448,$486,$752,False
07/26/2014,Zurich,False,London,11:34AM,6:30PM,6:56:00,$448,$587,$752,False
07/26/2014,Zurich,False,London,1:34PM,8:39PM,7:05:00,$448,$486,$752,False
07/29/2014,Zurich,False,London,7:34AM,2:39PM,7:05:00,$448,$486,$752,False
07/29/2014,Zurich,False,London,9:34AM,4:39PM,7:05:00,$426,$464,$752,False
07/29/2014,Zurich,False,London,11:34AM,6:30PM,6:56:00,$448,$587,$752,False
07/29/2014,Zurich,False,London,1:34PM,8:41PM,7:07:00,$353,$464,$752,False
07/29/2014,Zurich,False,London,3:34PM,10:39PM,7:05:00,$353,$464,$752,False
08/03/2014,Zurich,False,London,7:34AM,2:39PM,7:05:00,$469,$507,$723,False
08/03/2014,Zurich,False,London,9:34AM,4:39PM,7:05:00,$448,$486,$752,False
08/03/2014,Zurich,False,London,11:34AM,6:30PM,6:56:00,$538,$587,$752,False
08/03/2014,Zurich,False,London,1:34PM,8:39PM,7:05:00,$448,$486,$752,False
08/03/2014,Zurich,False,London,3:34PM,10:39PM,7:05:00,$516,$565,$723,False
07/26/2014,Porto,True,London,,,,,,,False
07/29/2014,Porto,True,London,,,,,,,False
08/03/2014,Porto,True,London,,,,,,,False
07/26/2014,Porto,True,Amsterdam,,,,,,,False
07/29/2014,Porto,True,Amsterdam,,,,,,,False
08/03/2014,Porto,True,Amsterdam,,,,,,,False
07/26/2014,Paris,False,London,7:13AM,8:30AM,1:17:00,$266,$304,$507,False
07/26/2014,Paris,False,London,8:13AM,9:30AM,1:17:00,$193,$304,$507,False
07/26/2014,Paris,False,London,8:43AM,10:00AM,1:17:00,$193,$214,$507,False
07/26/2014,Paris,False,London,9:13AM,10:39AM,1:26:00,$193,$304,$507,False
07/26/2014,Paris,False,London,10:13AM,11:39AM,1:26:00,$266,$304,$507,False
07/26/2014,Paris,False,London,11:13AM,12:30PM,1:17:00,$266,$304,$507,False
07/26/2014,Paris,False,London,11:43AM,1:00PM,1:17:00,$193,$405,$507,False
07/26/2014,Paris,False,London,12:43PM,2:00PM,1:17:00,$266,$405,$507,False
